title,image_url,description,start_date,end_date,category,shop,address,phone,offer_url
"Enjoy exclusive savings with BOC, HNB, Commercial Bank and NTB at Delifrance",https://mypromo.azureedge.net/promotions/mypromo-c431ebe89dd54d1ab78b633ab80a2307.jpg,"Get up to 25% OFF with your credit card and up to 15% OFF with your debit card when you dine at Delifrance!Enjoy exclusive savings from May 1st to 31st with BOC, HNB, Commercial Bank and NTB.Wednesday - BOCThursday - HNBFriday - Commercial BankSunday - NTBValid only for Dine-in and takeaway orders.*T&C apply",1/5/2025,30/05/2025,Food,Delifrance,"No. 5, Alexandra Place",94112676860,https://www.mypromo.lk/delifrance/promotion/22541/enjoy-exclusive-savings-with-boc-hnb-commercial-bank-and-ntb-at-delifrance
"Enjoy exclusive savings with BOC, HNB, Commercial Bank and NTB at Crystal Jade",https://mypromo.azureedge.net/promotions/mypromo-69bf30dc1c7942649310cb4c718fc3e2.jpg,"Get up to 25% OFF with your credit card and up to 15% OFF with your debit card when you dine at Crystal Jade!Enjoy exclusive savings from May 1st to 31st with BOC, HNB, Commercial Bank and NTB.Wednesday - BOCThursday - HNBFriday - Commercial BankSunday - NTBValid only for Dine-in and takeaway orders.*T&C apply",1/5/2025,31/05/2025,Food,Crystal Jade,"1a Galle Face Center Rd, Colombo 00200, Sri Lanka",0112 044 490,https://www.mypromo.lk/crystal-jade/promotion/22529/enjoy-exclusive-savings-with-boc-hnb-commercial-bank-and-ntb-at-crystal-jade
"Enjoy exclusive savings with BOC, HNB, Commercial Bank and NTB at Popeyes Sri Lanka",https://mypromo.azureedge.net/promotions/mypromo-ae71e9b1196247f885547dd2a20b4815.jpg,"Get up to 25% OFF with your credit card and up to 15% OFF with your debit card when you dine at Popeyes!Enjoy exclusive savings from May 1st to 31st with BOC, HNB, Commercial Bank and NTB.Wednesday - BOCThursday - HNBFriday - Commercial BankSunday - NTBValid only for Dine-in and takeaway orders.*T&C apply",1/5/2025,31/05/2025,Food,Popeyes Sri Lanka,282 Galle Rd,+94 115 123 123,https://www.mypromo.lk/popeyeslk/promotion/22531/enjoy-exclusive-savings-with-boc-hnb-commercial-bank-and-ntb-at-popeyes-sri-lanka
"Enjoy exclusive savings with BOC, HNB, Commercial Bank and NTB at Burger King",https://mypromo.azureedge.net/promotions/mypromo-3ef72f250d914df5bd24fe9c89cce08e.jpg,"et up to 25% OFF with your credit card and up to 15% OFF with your debit card when you dine at Burger King!Enjoy exclusive savings from May 1st to 31st with BOC, HNB, Commercial Bank and NTB.Wednesday - BOCThursday - HNBFriday - Commercial BankSunday - NTBValid only for Dine-in and takeaway orders.*T&C apply",1/5/2025,31/05/2025,Food,Burger King,"No. 283, Galle Road",94115123123,https://www.mypromo.lk/burgerking/promotion/22532/enjoy-exclusive-savings-with-boc-hnb-commercial-bank-and-ntb-at-burger-king
"Enjoy 20% Savings at Full’r Burgers, Solo Bowl & Indian Affair with DFCC Credit Cards",https://mypromo.azureedge.net/promotions/mypromo-4bf79cb40d434c5293af38e7362fd541.jpg,"Offer valid every Thursday & Friday.Valid up to a maximum bill value of LKR10,000/- per cardholder, per day.",1/5/2025,27/06/2025,Banks,DFCC Bank PLC,"No. 73/5, Galle Road",94112442442,https://www.mypromo.lk/dfccbank/promotion/22519/enjoy-20-savings-at-full’r-burgers-solo-bowl--indian-affair-with-dfcc-credit-cards
Urban Daycation at Courtyard by Marriott Colombo,https://mypromo.azureedge.net/promotions/mypromo-213cd5d6b95d46119bb78a8d61cc4559.jpg,"City Centre, 137 Muttiah Rd, Colombo 00200, Sri Lanka",8/5/2025,31/05/2025,Hotels & Accommodation,Courtyard by Marriott Colombo,"City Centre, 137 Muttiah Rd, Colombo 00200, Sri Lanka",0117 734 400,https://www.mypromo.lk/courtyard-by-marriott-colombo/promotion/22499/urban-daycation-at-courtyard-by-marriott-colombo
Get 50% CASHBACK on ALL purchases at Scope Cinemas with your HSBC Live+ Credit Card,https://mypromo.azureedge.net/promotions/mypromo-654a72274a414d9e80048919ac31e47d.jpg,"Enjoy up to LKR 8,000 off per month on both online and over-the-counter bookings at all Scope Cinemas locations.Offer valid NOW from 20th April to 31st June 2025!Exclusively for HSBC Live+ Credit Cardholders.Don't miss out on this incredible deal!*Terms and conditions apply.Visit the Deals And Exclusives section of our website for more details.",8/5/2025,30/06/2025,Entertainment,Scope Cinema,"No. 35 , Srimath Anagarika Dharmapala Mawatha",94112325266,https://www.mypromo.lk/scopecinema/promotion/22505/get-50-cashback-on-all-purchases-at-scope-cinemas-with-your-hsbc-live-credit-card
CYBER THURSDAY at Chinese Dragon Cafe,https://mypromo.azureedge.net/promotions/mypromo-5dd90bdb35264f44813cd3078414679f.jpg,"Get a sizzling 25% OFF on your A la carte orders above Rs.3000!Just use promo code: CT25 when you order online.Valid on: 8th, 15th, 22nd & 29th May",8/5/2025,29/05/2025,Food,Chinese Dragon Cafe,"No. 11, Miligiriya Avenue",94117808080,https://www.mypromo.lk/chinesedragoncafe/promotion/22509/cyber-thursday-at-chinese-dragon-cafe
Enjoy 20% off your bookings at Ayana sea for the month of May,https://mypromo.azureedge.net/promotions/mypromo-b1793b3358b441a19ab48b6585b0d96b.jpg,"150, 12 Samanthara Rd, Wadduwa 12560, Sri Lanka",4/5/2025,20/05/2025,Hotels & Accommodation,Ayana Sea,"150, 12 Samanthara Rd, Wadduwa 12560, Sri Lanka",0382 282 885,https://www.mypromo.lk/ayana-sea/promotion/22474/enjoy-20-off-your-bookings-at-ayana-sea-for-the-month-of-may
Indulge in a Beachfront Escape with 40% Savings Exclusively for credit card holders at Occidental Eden Beruwala,https://mypromo.azureedge.net/promotions/mypromo-9a0d8f050a2a4b32b1e458f315587962.jpg,Unwind at Occidental Eden Beruwala where golden sands and tranquil waters set the scene for total relaxationLKR 24000 nett per person on double sharing basis per nightThis is the discounted rate inclusive of the 40 percent savingsOffer valid until 30 June 2025For more details visit us onwww.brownshotels.com,7/5/2025,30/06/2025,Hotels & Accommodation,Occidental Eden Beruwala,"Colombo - Galle - Hambantota - Wellawaya Hwy, Beruwala 12070, Sri Lanka",0345 888 888,https://www.mypromo.lk/occidental-eden-beruwala/promotion/22475/indulge-in-a-beachfront-escape-with-40-savings-exclusively-for-credit-card-holders-at-occidental-eden-beruwala
Enjoy 25% OFF on Lunch & Dinner at Graze Kitchen and Emperor’s Wok at Hilton Colombo with your HNB Credit Card,https://mypromo.azureedge.net/promotions/mypromo-f8ea21a04ef04a4c8049dfa9d563537a.jpg,"No. 2, Sir Chittampalam A Gardiner Mawatha",7/5/2025,31/05/2025,Food,The Hilton Colombo,"No. 2, Sir Chittampalam A Gardiner Mawatha",94112492492,https://www.mypromo.lk/hiltoncolombo/promotion/22476/enjoy-25-off-on-lunch--dinner-at-graze-kitchen-and-emperor’s-wok-at-hilton-colombo-with-your-hnb-credit-card
Bring your mother and you both enjoy 20% OFF on Treatments at Lush Skin Clinique,https://mypromo.azureedge.net/promotions/mypromo-4e8c838811d7485a8ca4dc8873dd35c9.jpg,Valid from 7th to 17th MayBecause she deserves to feel as beautiful as she is.Please call us on the below numbers to book your consultation.Lush Battaramulla- 0776641482,7/5/2025,17/05/2025,Beauty,Lush Skin Clinic,"1100, 4 B47, Sri Jayawardenepura Kotte 10120, Sri Lanka",0112 889 922,https://www.mypromo.lk/lush-skin-clinic/promotion/22477/bring-your-mother-and-you-both-enjoy-20-off-on-treatments-at-lush-skin-clinique
Enjoy 20% savings at Mount Lavinia Hotel when you pay with your People’s Bank Credit Card,https://mypromo.azureedge.net/promotions/mypromo-9eceb8a3a97242199eaaa0c1eae7828c.jpg,"No.100, Hotel Road",7/5/2025,31/05/2025,Hotels & Accommodation,Mount Lavinia Hotel,"No.100, Hotel Road",94112711711,https://www.mypromo.lk/mountlaviniahotel/promotion/22488/enjoy-20-savings-at-mount-lavinia-hotel-when-you-pay-with-your-people’s-bank-credit-card
Enjoy the long weekend with special offer at Pegasus Reef Hotel,https://mypromo.azureedge.net/promotions/mypromo-9b2c60b2a7dd4ac3a79d800f96a1de66.jpg,"reate lasting memories with your loved ones. At Pegasus Reef, your comfort is our priority.Book now and enjoy zero charges for your kids!Whatsapp 076 3056 555 for your reservation",10/5/2025,31/05/2025,Hotels & Accommodation,Pegasus Reef Hotel,"P.O.Box 02, Hendala",94112049600,https://www.mypromo.lk/pegasusreef/promotion/22456/enjoy-the-long-weekend-with-special-offer-at-pegasus-reef-hotel
Enjoy 20% DISCOUNT on TOTAL BILL with HSBC Credit Cards at Softlogic GLOMARK,https://mypromo.azureedge.net/promotions/mypromo-e80d0254a7de4ec69f08db2f3f9ffa55.jpg,"Enjoy 20% DISCOUNT on TOTAL BILL with HSBC Credit Cards on Every Wednesday till 21st May 2025. Valid at all GLOMARK outlets and glomark.lk.Conditions –- Minimum Total Bill Value – 5,000/-- Maximum Discount (Credit) – 4,000/-- Maximum 5 units/ 5kg per product- One Transaction Per Card, Per day- Excluding – Milk Foods, Eggs, Milk powder, Over the counter products, Malt products, Infant foods, Whole chicken, Hot food, Sugar, Flour, Rice, Pulses, Coconuts, Liquor, Tobacco, Gift vouchers, Electronics, Hampers, Pharmaceuticals, & Furniture.*Conditions apply",7/5/2025,21/05/2025,Retail,Softlogic GLOMARK,Colombo,+94 115 770 000,https://www.mypromo.lk/glomark/promotion/22458/enjoy-20-discount-on-total-bill-with-hsbc-credit-cards-at-softlogic-glomark
Summer offer at Suriya Resort,https://mypromo.azureedge.net/promotions/mypromo-61cc96a952eb4f68ada052ff9521c6e4.jpg,"Escape in Style – 30% OFF This SummerIndulge in a serene retreat at Suriya Luxury Resort, Waikkala, where beach, lagoon, and sunset come together in perfect harmonyIdeal for romantic getaways, quality family time, or peaceful solo stays.Experience true relaxation in a luxury setting.Limited-time offer – reserve your stay today.Reservations: 076 8221059 |076 8399267",6/5/2025,15/07/2025,Hotels & Accommodation,Suriya Resort,Kammala Road,94312277775,https://www.mypromo.lk/suriyaresort/promotion/22463/summer-offer-at-suriya-resort
Cyber Monday at Chinese Dragon Cafe,https://mypromo.azureedge.net/promotions/mypromo-c6a8a195876e48c29c024594ec6f34e4.jpg,"Get a spicy 30% OFF your favourite Chinese Dragon dishes when you order onlinePromo Code: CM30Valid on May 5th, 12th, 19th & 26thOrders above Rs.3000 | A la carte menu onlyOrder now: www.chinesedragoncafe.com",5/5/2025,26/05/2025,Food,Chinese Dragon Cafe,"No. 11, Miligiriya Avenue",94117808080,https://www.mypromo.lk/chinesedragoncafe/promotion/22464/cyber-monday-at-chinese-dragon-cafe
SPAR Super saver month,https://mypromo.azureedge.net/promotions/mypromo-cfc7e2ba1eea41c3aea684d8795f6f3e.jpg,BANK OFFERS GALORE on selected credit and debit cards.See post for more details(T&C Apply),6/5/2025,31/05/2025,Retail,SPAR Sri Lanka,Pannipitiya Road,+94 115007200,https://www.mypromo.lk/sparsrilanka/promotion/22465/spar-super-saver-month
Celebrate Vesak in Style at The Argyle,https://mypromo.azureedge.net/promotions/mypromo-562344dc6f2a42d1b178716a063cdf66.jpg,"Reconnect with your loved ones this Vesak with our Family Getaway Package — where togetherness meets tranquility.Special family rates | Free kids' meals | 10% off second night!Enjoy 24-hour service, an international buffet, and a relaxing heated pool.Offer valid till 31st May 2025 – Book now and make memories that last!+94 51 203 0000 |076 388 6846reservations@theargylevillas.com",6/5/2025,31/05/2025,Hotels & Accommodation,The Argyle - Luxury Boutique Hotel,"Kudaoya Estate, Argyle Rd, හැටන් 22000, Sri Lanka",0512 030 000,https://www.mypromo.lk/the-argyle-luxury-boutique-hotel/promotion/22466/celebrate-vesak-in-style-at-the-argyle
Blossom this may with relaxing getaway at The Argyle,https://mypromo.azureedge.net/promotions/mypromo-ed295f931a1142749e962a954aab6cbf.jpg,"𝑬𝒏𝒋𝒐𝒚 𝒂𝒏 𝒖𝒏𝒇𝒐𝒓𝒈𝒆𝒕𝒕𝒂𝒃𝒍𝒆 𝒆𝒔𝒄𝒂𝒑𝒆 𝒘𝒊𝒕𝒉 𝒔𝒕𝒖𝒏𝒏𝒊𝒏𝒈 𝒗𝒊𝒆𝒘𝒔, 𝒍𝒖𝒙𝒖𝒓𝒚 𝒄𝒐𝒎𝒇𝒐𝒓𝒕𝒔, 𝒂𝒏𝒅 10% 𝒐𝒇𝒇 𝒐𝒏 𝒔𝒑𝒂 𝒕𝒓𝒆𝒂𝒕𝒎𝒆𝒏𝒕𝒔 & 𝒃𝒆𝒗𝒆𝒓𝒂𝒈𝒆𝒔.𝑳𝒆𝒕 𝒕𝒉𝒆 𝑪𝒂𝒍𝒚𝒑𝒔𝒐 𝒃𝒂𝒏𝒅 𝒔𝒆𝒕 𝒕𝒉𝒆 𝒑𝒆𝒓𝒇𝒆𝒄𝒕 𝒎𝒐𝒐𝒅 𝒂𝒔 𝒚𝒐𝒖 𝒖𝒏𝒘𝒊𝒏𝒅 𝒊𝒏 𝒑𝒂𝒓𝒂𝒅𝒊𝒔𝒆.ᴠᴀʟɪᴅ ᴜɴᴛɪʟ 31ꜱᴛ ᴊᴜʟʏᴅʙʟ ꜰʙ ɴᴄᴛ – ʀꜱ. 47,000 | ᴛᴘʟ ꜰʙ ɴᴄᴛ – ʀꜱ. 57,000",6/5/2025,31/07/2025,Hotels & Accommodation,The Argyle - Luxury Boutique Hotel,"Kudaoya Estate, Argyle Rd, හැටන් 22000, Sri Lanka",0512 030 000,https://www.mypromo.lk/the-argyle-luxury-boutique-hotel/promotion/22467/blossom-this-may-with-relaxing-getaway-at-the-argyle
Make your birthday extra sweet with 25% off at Cinnamon Grand,https://mypromo.azureedge.net/promotions/mypromo-7ab534730bc94001a4369042bd1c1cab.jpg,"Everyday7am - MidnightCoffee Stop*To enjoy this offer, kindly present your NIC as proof of your birthday when orderingContact us on +94 77 395 6324 for enquiries and orders*Terms & conditions apply",5/5/2025,31/12/2025,Food,Cinnamon Grand,"No. 77, Galle Road",94112437437,https://www.mypromo.lk/cinnamongrandcolombo/promotion/22454/make-your-birthday-extra-sweet-with-25-off-at-cinnamon-grand
Super Savings with Your NDB Credit Card!,https://mypromo.azureedge.net/promotions/mypromo-030a86c83f82444cb807ae6f39426df7.jpg,"This May, enjoy exclusive discounts at your favorite supermarkets from Keells, Glomark, Arpico, Laugfs, Spar and Cargills.",5/5/2025,31/05/2025,Banks,National Development Bank,"No. 40, Nawam Mawatha",94112448888,https://www.mypromo.lk/ndb/promotion/22450/super-savings-with-your-ndb-credit-card!
CYBER SAVINGS from Pizza Hut!,https://mypromo.azureedge.net/promotions/mypromo-fb1b84506cbe4fcd9b637afc4b1ed740.jpg,Buy A Signature OR Classic Large Pizza + 1 Fries + 1 Select Appetizer + 1 Jumbo Coke for just Rs.4400!Buy A Signature OR Classic Medium Pizza + 1 Fries + 1 Select Appetizer + 1 Pet Coke for just Rs.2950 !Available exclusively for ONLINE orders made on www.pizzahut.lk or the Pizza Hut app.Valid till 31st May 2025,5/5/2025,31/05/2025,Food,Pizza Hut,"No. 321/A, Union Place",94112729729,https://www.mypromo.lk/pizzahut/promotion/22441/cyber-savings-from-pizza-hut!
"Enjoy up to 30% off with Sampath Bank Cards for Vegetables, Fruit, Meat & Fish at Softlogic GLOMARK",https://mypromo.azureedge.net/promotions/mypromo-1dff0bd8b5b14023b23b79cd3134f0fe.jpg,"Enjoy 30% OFF with Sampath Bank Credit Cards and 20% OFF for Sampath Bank Debit Cards for Vegetables, Fruit, Meat & Fish. Offer available at your nearest GLOMARK outlet & www.glomark.lk on every Monday till 26th May 2025.Conditions -- Minimum Bill Value 4,000/-- Maximum Discount (Credit) 3,000/-- Maximum Discount (Debit) 2,000/-- 5 Units/ 5kg Per Product | Per Card, Per day.- Excluding - Packed or Processed: Vegetables, Fruit, Meat & Seafood.*Conditions apply",5/5/2025,26/05/2025,Retail,Softlogic GLOMARK,Colombo,+94 115 770 000,https://www.mypromo.lk/glomark/promotion/22443/enjoy-up-to-30-off-with-sampath-bank-cards-for-vegetables-fruit-meat--fish-at-softlogic-glomark
Enjoy up to 25% discount with Peoples bank Cards at Softlogic GLOMARK,https://mypromo.azureedge.net/promotions/mypromo-5de47fa656bb431b82051ec2f1a5f630.jpg,"Enjoy 25% DISCOUNT with People’s Bank Credit Cards and 10% DISCOUNT with Peoples Bank Debit Cards on your Total Bill, every Tuesday until 27th of May 2025. Shop at any GLOMARK outlet or online via www.glomark.lk.Conditions –• Minimum Total Bill Value – Rs. 5,000/-• Maximum Discount (Credit) – Rs. 5,000/-• Maximum Discount (Debit) – Rs. 2,000/-• Maximum 5 units/ 5kg per product• One Transaction Per Card, Per day• Excluding – Milk Foods, Eggs, Milk powder, Over the counter products, Malt products, Infant foods, Whole chicken, Hot food, Sugar, Flour, Rice, Pulses, Coconuts, Liquor, Tobacco, Gift vouchers, Electronics, Hampers, Pharmaceuticals, & Furniture.*Conditions apply",5/5/2025,27/05/2025,Retail,Softlogic GLOMARK,Colombo,+94 115 770 000,https://www.mypromo.lk/glomark/promotion/22444/enjoy-up-to-25-discount-with--peoples-bank-cards-at-softlogic-glomark
Elevate your elegance with Amanté at Fashion BugBest fashion retailers,https://mypromo.azureedge.net/promotions/mypromo-c5ca1b9f620447fd8789d72849c9a3e2.jpg,Buy 2 bras and get 25% OFF.Offer valid from 3rd to 18th May only.Don’t miss this exclusive deal!,3/5/2025,18/05/2025,Fashion,Fashion Bug,"No. 405, Colombo Road, Pepiliyana",94112809900,https://www.mypromo.lk/fashionbug/promotion/22435/elevate-your-elegance-with-amanté-at-fashion-bug
People’s Bank cardholders enjoy up to 20% off on lunch and dinner buffet at Blue Orbit by Citrus,https://mypromo.azureedge.net/promotions/mypromo-97dc347a71c44acdad4cebc6bb0f3865.jpg,"Indulge in a world-class buffet experience at Blue Orbit by Citrus, South Asia’s highest revolving restaurant at the Colombo Lotus Tower.Best restaurants near me",1/5/2025,31/05/2025,Food,Blue Orbit by Citrus,"27th Floor, Colombo Lotus Tower, AC6, Colombo 01000, Sri Lanka",076 544 3333,https://www.mypromo.lk/blue-orbit-by-citrus/promotion/22436/people’s-bank-cardholders-enjoy-up-to-20-off-on-lunch-and-dinner-buffet-at-blue-orbit-by-citrus
Enjoy up to 20% Savings on Lunch & dinner buffets for Commercial bank Cardholders at Blue Orbit by Citrus,https://mypromo.azureedge.net/promotions/mypromo-9831a98e56c8426aa32f2927007c6154.jpg,Experience exquisite dining at Blue Orbit by Citrus in the iconic Colombo Lotus Tower.Best restaurants near me,1/5/2025,31/05/2025,Food,Blue Orbit by Citrus,"27th Floor, Colombo Lotus Tower, AC6, Colombo 01000, Sri Lanka",076 544 3333,https://www.mypromo.lk/blue-orbit-by-citrus/promotion/22437/enjoy-up-to-20-savings-on-lunch--dinner-buffets-for-commercial-bank-cardholders-at-blue-orbit-by-citrus
Exclusive Savings for HNB Cardholders at Blue Orbit by Citrus,https://mypromo.azureedge.net/promotions/mypromo-2eb137736e4d42deb9a1606d355beb7a.jpg,"Experience exquisite dining at Blue Orbit by Citrus in the iconic Colombo Lotus Tower. From 1st - 31st May 2025, enjoy up to 20% savings on our luxurious lunch and dinner buffets!Best restaurants near me20% savings with HNB Club Visa Infinite, Infinite, Signature & World Mastercard Credit Cards (Max. 5 members per card)10% savings for all HNB Credit Cards (Max. 4 members per card)10% savings for all HNB Debit Cards (Max. 2 members per card)Offer valid on food only.Terms and conditions apply.",1/5/2025,31/05/2025,Food,Blue Orbit by Citrus,"27th Floor, Colombo Lotus Tower, AC6, Colombo 01000, Sri Lanka",076 544 3333,https://www.mypromo.lk/blue-orbit-by-citrus/promotion/22438/exclusive-savings-for-hnb-cardholders-at-blue-orbit-by-citrus
May Staycation at Hotel Topaz,https://mypromo.azureedge.net/promotions/mypromo-b2afc2f90a2b4b2f94414aa42fed0fb5.jpg,"Escape to the Hills this MayUnwind with a cosy staycation at Hotel Topaz — where comfort, good company, and little luxuries await.LKR 15,000 Nett Per PersonIncludes:Evening tea & snacksDedicated gathering space for your groupBYOB-friendly10% off on Food & BeveragesComplimentary pick-up & drop-off from Kandy Railway Station",2/5/2025,31/05/2025,Hotels & Accommodation,Hotel Topaz,Anniewatte,15802898167,https://www.mypromo.lk/hoteltopaz/promotion/22425/may-staycation-at-hotel-topaz
Unwind with a delightful evening tea experience at Club Palm Bay,https://mypromo.azureedge.net/promotions/mypromo-475c1e1649994deeac78729a2e9ec744.jpg,"Daily | 3:00 PM – 6:00 PMLKR 2,750 per personWhat’s Included:Evening snack buffetComplimentary pool accessSpecial Offers:One dines free with every group of 10.Enjoy discounts on Ayurveda treatments during tea hours.Complimentary cake for guests celebrating their birthday.Changing room facility available for groups of 20 or more.No corkage fee until 6:00 PM.Team building activities available on request.Call now to book: 074 393 7287",2/5/2025,31/12/2025,Food,Club Palm Bay,"Thalawila Wella, Thoduwawa",94322255831,https://www.mypromo.lk/clubpalmbay/promotion/22429/unwind-with-a-delightful-evening-tea-experience-at-club-palm-bay
Style meets savings at Samanmal Life Style Store,https://mypromo.azureedge.net/promotions/mypromo-79192f307e5f423db39a2d86dd883ac6.jpg,Get 20% OFF on Party WearGet 15% OFF on our stunning White Collection*Selected items only | Offer valid till 31st May 2025Visit us at Matara | Panadura | EmbilipitiyaShop now: www.samanmal.lk,2/5/2025,31/05/2025,Fashion,Samanmal,"236,Rathnapura road Pallegama, Embilipitiya, Sri Lanka",0472 262 277,https://www.mypromo.lk/samanmal/promotion/22433/style-meets-savings-at-samanmal-life-style-store
Enjoy the best savings on bank cards and save up this May at Cargills Food City,https://mypromo.azureedge.net/promotions/mypromo-55be2897246f4cae82e1cee2d873e84b.jpg,"No.40, York Street",1/5/2025,31/05/2025,Retail,Cargills Food City,"No.40, York Street",94112427777,https://www.mypromo.lk/cargillsfoodcity/promotion/22421/enjoy-the-best-savings-on-bank-cards-and-save-up-this-may-at-cargills-food-city
Enjoy 20% DISCOUNT on TOTAL BILL with Commercial Bank Credit Cards at Softlogic GLOMARK,https://mypromo.azureedge.net/promotions/mypromo-73f11a1cb97c44cf9a817291c2c105b0.jpg,"Enjoy 20% DISCOUNT on TOTAL BILL with Commercial Bank Credit Cards, every Thursday till the 22nd of May 2025. Shop at any GLOMARK outlet or online via glomark.lk.Conditions –• Minimum Total Bill Value – Rs. 5,000/-• Maximum Discount (Credit) – Rs. 4,000/-• Maximum 5 units/ 5kg per product• One Transaction Per Card, Per day• Excluding – Milk Foods, Eggs, Milk powder, Over the counter products, Malt products, Infant foods, Whole chicken, Hot food, Sugar, Flour, Rice, Pulses, Coconuts, Liquor, Tobacco, Gift vouchers, Electronics, Hampers, Pharmaceuticals, & Furniture.*Conditions apply",2/5/2025,22/05/2025,Retail,Softlogic GLOMARK,Colombo,+94 115 770 000,https://www.mypromo.lk/glomark/promotion/22422/enjoy-20-discount-on-total-bill-with-commercial-bank-credit-cards-at-softlogic-glomark
